Branch,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,Rating
A,Female,Health and beauty,74.69,7,548.9715,1/5/2019,13:08,Ewallet,9.1
C,Female,Electronic accessories,15.28,5,80.22,3/8/2019,10:29,Cash,9.6
A,Male,Home and lifestyle,46.33,7,340.5255,3/3/2019,13:23,Credit card,7.4
A,Male,Health and beauty,58.22,8,489.048,1/27/2019,20:33,Ewallet,8.4
A,Male,Sports and travel,86.31,7,634.3785,2/8/2019,10:37,Ewallet,5.3
C,Male,Electronic accessories,85.39,7,627.6165,3/25/2019,18:30,Ewallet,4.1
A,Female,Electronic accessories,68.84,6,433.692,2/25/2019,14:36,Ewallet,5.8
C,Female,Home and lifestyle,73.56,10,772.38,2/24/2019,11:38,Ewallet,8
A,Female,Health and beauty,36.26,2,76.146,1/10/2019,17:15,Credit card,7.2
B,Female,Food and beverages,54.84,3,172.746,2/20/2019,13:27,Credit card,5.9
B,Female,Fashion accessories,14.48,4,60.816,2/6/2019,18:07,Ewallet,4.5
B,Male,Electronic accessories,25.51,4,107.142,3/9/2019,17:03,Cash,6.8
A,Female,Electronic accessories,46.95,5,246.4875,2/12/2019,10:25,Ewallet,7.1
A,Male,Food and beverages,43.19,10,453.495,2/7/2019,16:48,Ewallet,8.2
A,Female,Health and beauty,71.38,10,749.49,3/29/2019,19:21,Cash,5.7
B,Female,Sports and travel,93.72,6,590.436,1/15/2019,16:19,Cash,4.5
A,Female,Health and beauty,68.93,7,506.6355,3/11/2019,11:03,Credit card,4.6
A,Male,Sports and travel,72.61,6,457.443,1/1/2019,10:39,Credit card,6.9
A,Male,Food and beverages,54.67,3,172.2105,1/21/2019,18:00,Credit card,8.6
B,Female,Home and lifestyle,40.3,2,84.63,3/11/2019,15:30,Ewallet,4.4
C,Male,Electronic accessories,86.04,5,451.71,2/25/2019,11:24,Ewallet,4.8
B,Male,Health and beauty,87.98,3,277.137,3/5/2019,10:40,Ewallet,5.1
B,Male,Home and lifestyle,33.2,2,69.72,3/15/2019,12:20,Credit card,4.4
A,Male,Electronic accessories,34.56,5,181.44,2/17/2019,11:15,Ewallet,9.9
A,Male,Sports and travel,88.63,3,279.1845,3/2/2019,17:36,Ewallet,6
A,Female,Home and lifestyle,52.59,8,441.756,3/22/2019,19:20,Credit card,8.5
B,Male,Fashion accessories,33.52,1,35.196,2/8/2019,15:31,Cash,6.7
A,Female,Fashion accessories,87.67,2,184.107,3/10/2019,12:17,Credit card,7.7
B,Female,Food and beverages,88.36,5,463.89,1/25/2019,19:48,Cash,9.6
A,Male,Health and beauty,24.89,9,235.2105,3/15/2019,15:36,Cash,7.4
